ID,Planting_Date,Harvest_Date,Sowing_Seeds_Number,Seeds_Per_Site,Plant_Density_20_days,Chemical_Treat_Disease,Chemical_Treat_Weeds,Chemical_Treat_Pests,Total_N,Total_P,Total_K,Number_Chemical_Ferti,pH,pH2,Efective_Depth,TM_Avg_VEG,TA_Avg_VEG,DR_Avg_VEG,SR_Accu_VEG,P_10_Freq_VEG,TA_Avg_CF,SR_Accu_CF,P_Accu_CF,RH_Avg_CF,SR_Accu_MAT,P_10_Freq_MAT,RH_Avg_MAT,Numero_de_tecnicos,Sowing_Method,Seeds_Treatment,Cultivar,Former_Crop,Field_Drainage,Harvest_Method,Cultivar_Type,Soil_Structure,Runoff,Soil_Texture,Organic_Matter_Content,Departemento,Yield
537,10/1/2013,2/3/2014,60000,2,60000,0,1,1,0.046,0,0,1,7,8.4,31,24.3625,28.42142274,8.117845476,14804.75763,0.075,28.1508434,24163.0193,305.1,80.24137931,13197.5729,0.230769231,82.41025641,1,Mecanizado,NO,PIONEER 30F32,Algodon,SI,MAnual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA,Cordoba,5
543,8/25/2013,1/15/2014,60000,1,60000,0,1,1,0.092,0,0,2,7,8.4,20,24.2525,28.15247209,7.799944171,14546.30944,0.125,28.29144936,24396.63982,271.2,80.51724138,12436.48772,0.257142857,81.85714286,1,NA,SI,DK 234,Maiz,SI,Manual,Hibrido,GRANULAR,NINGUNO,ArL,NA,Cordoba,5
53,5/13/2013,9/26/2013,60000,1,60000,0,1,0,0.046,0,0,1,7,8.4,30,24.3575,28.43854347,8.162086934,14905.91953,0.075,28.15829645,24005.68766,286.9,80.32758621,11267.16834,0.272727273,82.60606061,1,Mecanizado,NO,PIONEER 30F32,Algodon,SI,Manual,Hibrido,GRANULAR,NINGUNO,AF,MEDIA,Cordoba,5.5
54,5/2/2013,9/11/2013,60000,1,60000,0,2,0,0.046,0,0,1,6,7.2,11,24.28,28.30135244,8.042704877,NA,0.1,28.20222497,23979.99504,282.1,80.51724138,11066.68328,0.290322581,81.83870968,2,Mecanizado,NO,Otro,Algodon,SI,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA,Cordoba,"5,2"
56,5/12/2013,9/19/2013,60000,1,60000,0,1,1,0.046,0,0,1,7,8.4,6,24.28,28.30135244,8.042704877,14809.63046,0.1,28.20222497,23979.99504,282.1,80.51724138,11066.68328,0.290322581,81.83870968,2,Mecanizado,NO,Otro,Algodon,SI,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA,Cordoba,5.7
57,5/7/2013,9/12/2013,60000,2,60000,0,2,2,0.092,0,0,2,5,6,27,24.32,28.36783783,8.095675667,14948.09661,0.1,NA,23795.42425,281.4,80.48275862,12690.30378,0.25,82.11111111,2,Mecanizado,SI,DK 234,Maiz,SI,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA,Cordoba,5.2
273,5/7/2013,9/12/2013,60000,3,60000,0,1,1,0.046,0,0,1,7,8.4,33,24.2525,NA,7.799944171,14546.30944,0.125,28.29144936,24396.63982,271.2,80.51724138,14448.17226,0.243902439,82.04878049,1,Manual,NA,Otro,Maiz,SI,Manual,Hibrido,GRANULAR,NINGUNO,ArA,BAJA,Cordoba,4.7
282,5/8/2013,9/18/2013,NA,3,60000,0,NA,1,0.092,0,0,2,6,7.2,11,24.3575,28.39837833,8.081756664,14753.41182,0.1,28.17124596,23987.09021,281.4,80.36206897,13635.40152,0.230769231,82.23076923,1,Manual,SI,PIONEER 30F32,Algodon,SI,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA,Cordoba,6
283,5/2/2013,9/17/2013,60000,2,60000,0,2,0,NA,0,0,2,6,7.2,15,24.2675,28.22316672,7.911333438,14614.71603,0.125,28.2450992,24267.95517,270.8,80.46551724,13161.13889,0.27027027,82,1,Manual,SI,DK 234,Algodon,SI,Manual,Hibrido,GRANULAR,NINGUNO,FA,MEDIA,Cordoba,5.5
284,5/9/2013,9/22/2013,60000,1,60000,0,1,1,0.046,0,0,1,5,6,15,24.0675,28.36464617,8.594292345,15518.97425,0.125,27.9428732,23738.24453,328,80.24137931,11604.90794,0.171428571,82.34285714,1,Mecanizado,NO,PIONEER 30F35,Frijol,SI,Manual,Hibrido,GRANULAR,NINGUNO,L,BAJA,Cordoba,4.5
286,5/3/2013,9/14/2013,60000,1,60000,0,0,1,0.069,0,0.03,2,6,7.2,20,24.2775,28.15472718,7.754454362,14523.06638,0.125,28.30975891,24354.5397,227.2,NA,13113.16445,0.297297297,81.97297297,1,Mecanizado,SI,Otro,Algodon,SI,Manual,Hibrido,GRANULAR,NINGUNO,ArA,BAJA,Cordoba,6.2
287,5/26/2013,10/5/2013,60000,2,60000,0,1,1,0.092,0,0,2,6,7.2,20,24.2775,28.15472718,7.754454362,14523.06638,0.125,28.30975891,24354.5397,227.2,80.39655172,12813.59534,0.277777778,81.97222222,1,Manual,NO,Otro,Algodon,SI,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA,Cordoba,"5,3"
